Target,MSE,MAE,R²
omega (rad/s),0.04476439580321312,0.08904989808797836,0.9628541469573975
vx (m/s),0.010597397573292255,0.0628870353102684,0.9838007688522339
vy (m/s),0.013767516240477562,0.05862165614962578,0.9802722334861755
