True_vx,Pred_vx,Error_vx,True_vy,Pred_vy,Error_vy,True_omega,Pred_omega,Error_omega
-0.008936933,0.041183144,0.050120078,-0.5202494,-0.5002463,0.02000314,-0.031054735,-0.057906162,-0.026851427
-0.01737975,0.04102773,0.058407478,-0.55570775,-0.5487289,0.0069788694,-0.027470065,-0.059864726,-0.032394662
0.014749604,0.031357527,0.016607922,-0.5379033,-0.58503574,-0.047132432,-0.029377358,-0.052985605,-0.023608247
-0.0022026072,0.040971685,0.043174293,-0.5205971,-0.5569692,-0.036372125,-0.039664205,-0.053900503,-0.014236297
0.021236409,0.02797457,0.0067381617,-0.50970113,-0.5218088,-0.01210767,-0.058888644,-0.06471875,-0.005830109
0.033603795,0.046379138,0.012775343,-0.48811853,-0.5012751,-0.013156593,-0.0933951,-0.07841064,0.014984459
0.031535707,0.022389831,-0.009145876,-0.4810394,-0.46375215,0.017287254,-0.14620154,-0.103331536,0.04287
0.016009178,-0.014716896,-0.030726075,-0.47874126,-0.47770143,0.0010398328,-0.20253128,-0.15219782,0.050333455
0.017161379,-0.03663893,-0.053800307,-0.4835379,-0.47150546,0.012032449,-0.24742977,-0.21194494,0.035484836
-4.9720977e-05,-0.034395896,-0.034346174,-0.48647985,-0.4968525,-0.010372639,-0.26415327,-0.26030537,0.003847897
-0.017580703,-0.029958643,-0.01237794,-0.48931503,-0.4939621,-0.004647076,-0.26777643,-0.28017017,-0.012393743
-0.012028846,-0.040320724,-0.028291877,-0.4836617,-0.49696994,-0.013308227,-0.2743279,-0.28097716,-0.0066492558
0.009994392,-0.0467117,-0.05670609,-0.484911,-0.49258098,-0.0076699853,-0.28843385,-0.28516707,0.0032667816
0.0042726886,-0.028372563,-0.03264525,-0.4877973,-0.49338594,-0.0055886507,-0.29184112,-0.29926506,-0.0074239373
0.021789907,-0.024132445,-0.045922354,-0.49775356,-0.49265784,0.0050957203,-0.29314214,-0.30421904,-0.011076897
-0.011530287,-0.004464663,0.0070656235,-0.4984104,-0.5068674,-0.008457005,-0.29202121,-0.30475855,-0.012737334
-0.02434694,-0.042323567,-0.017976627,-0.5176098,-0.5202684,-0.0026586056,-0.32298458,-0.3008797,0.02210489
-0.019838147,-0.06356951,-0.04373136,-0.51917595,-0.53381413,-0.0146381855,-0.35838068,-0.3231995,0.035181165
-0.0032279151,-0.04988978,-0.046661865,-0.51882964,-0.5305748,-0.011745155,-0.3906136,-0.35526922,0.035344362
0.0077154157,-0.016251866,-0.023967281,-0.52150136,-0.52307737,-0.0015760064,-0.40087342,-0.39209673,0.008776695
0.0070274738,0.015646555,0.008619081,-0.5284335,-0.52276075,0.005672753,-0.39371386,-0.4184346,-0.024720728
0.0028120806,0.013866871,0.01105479,-0.5324186,-0.5300469,0.0023717284,-0.38194096,-0.40574205,-0.023801088
-0.015857242,3.5673853e-05,0.015892915,-0.5147715,-0.5369762,-0.022204697,-0.36872387,-0.39360183,-0.024877965
0.027577909,-0.04396805,-0.07154596,-0.47136045,-0.5159486,-0.04458815,-0.35192937,-0.3719751,-0.020045727
-0.011736638,0.08408164,0.09581828,-0.3519156,-0.44622934,-0.09431374,-0.2869559,-0.40680638,-0.11985049
0.0027806652,-0.05195336,-0.054734025,-0.33863103,-0.322927,0.015704036,-0.3092635,-0.27868935,0.030574143
-0.004123259,-0.033727087,-0.029603828,-0.3291809,-0.31286448,0.016316414,-0.33487394,-0.30272782,0.032146126
0.03466255,-0.055700384,-0.090362936,-0.31621575,-0.3021255,0.01409024,-0.34242943,-0.32568893,0.0167405
0.026623536,-0.007284898,-0.033908434,-0.30776164,-0.29213414,0.015627503,-0.3357359,-0.33898106,-0.003245175
0.009838504,-0.010523624,-0.020362128,-0.30657676,-0.28782073,0.018756032,-0.32786688,-0.33290994,-0.0050430596
-0.0014205831,-0.02391269,-0.022492107,-0.31136778,-0.28872788,0.0226399,-0.32378775,-0.32461435,-0.0008265972
-0.00463739,-0.036466293,-0.031828903,-0.3090547,-0.29116625,0.017888457,-0.31819564,-0.3178083,0.00038734078
0.015963765,-0.04214912,-0.058112882,-0.30888194,-0.29042715,0.01845479,-0.32053214,-0.31255108,0.007981062
0.006809835,-0.019250102,-0.026059937,-0.30765414,-0.2913601,0.016294032,-0.32538852,-0.31450042,0.0108881
0.01742471,-0.027797155,-0.045221865,-0.2954712,-0.2890225,0.006448686,-0.31536898,-0.31907883,-0.0037098527
0.015210238,-0.016302455,-0.031512693,-0.29601994,-0.2808768,0.015143156,-0.31398252,-0.310158,0.0038245022
0.00049836235,-0.013464152,-0.013962515,-0.30052814,-0.28264564,0.017882496,-0.31639668,-0.31058738,0.005809307
0.026645882,-0.031389967,-0.05803585,-0.32096776,-0.28473318,0.036234587,-0.33344138,-0.31121776,0.022223622
-0.017301079,0.022777937,0.040079016,-0.32481202,-0.31668016,0.008131862,-0.33928496,-0.34739122,-0.0081062615
0.046898462,-0.052320905,-0.09921937,-0.35685575,-0.3176368,0.039218962,-0.38386536,-0.33881268,0.045052677
0.0074823503,0.028529018,0.021046668,-0.37443766,-0.37111777,0.0033198893,-0.41407862,-0.40069506,0.013383567
0.061475243,-0.005783848,-0.06725909,-0.42121503,-0.38778555,0.033429474,-0.45720235,-0.42265695,0.03454539
0.01767707,0.10841022,0.09073315,-0.48618826,-0.43489763,0.05129063,-0.49008226,-0.488629,0.0014532506
-0.0008231881,0.095587514,0.0964107,-0.51674235,-0.5013086,0.015433729,-0.4942079,-0.5200344,-0.025826484
-0.009887616,0.07411069,0.0839983,-0.5587199,-0.5273069,0.03141296,-0.52317417,-0.5269269,-0.0037527084
-0.024355754,0.11767451,0.14203027,-0.68645144,-0.62594044,0.060510993,-0.64037883,-0.5213394,0.11903942
0.009133161,0.04606413,0.03693097,-0.7912608,-0.7145219,0.076738894,-0.70723,-0.6324974,0.0747326
0.024704037,0.05735814,0.0326541,-0.8818455,-0.78613925,0.095706224,-0.73214394,-0.70337313,0.028770804
-0.01372123,0.060744043,0.074465275,-0.9686799,-0.8704465,0.0982334,-0.7795827,-0.7128549,0.06672776
-0.017215844,-0.006123423,0.011092421,-0.9520933,-0.9019308,0.050162494,-0.7590176,-0.76989883,-0.010881245
0.0031024558,0.02383025,0.020727795,-1.0209787,-0.92765534,0.09332335,-0.8126682,-0.7337194,0.078948796
0.024656974,0.007579085,-0.01707789,-1.0264956,-0.950787,0.07570857,-0.8137436,-0.78216416,0.031579435
0.011801873,0.021718401,0.009916528,-1.0482962,-0.9487684,0.099527836,-0.8232664,-0.779241,0.04402536
0.014464653,0.010847443,-0.0036172103,-1.0552611,-0.9589116,0.09634954,-0.8235177,-0.7834452,0.0400725
0.01259251,0.0091505805,-0.0034419298,-1.0507566,-0.9594831,0.09127349,-0.8206435,-0.77997994,0.04066354
0.020730127,0.007230059,-0.013500068,-1.0518335,-0.9586731,0.09316039,-0.82738423,-0.7800156,0.047368646
0.017224997,0.012785719,-0.0044392785,-1.0421739,-0.95669514,0.08547872,-0.8237117,-0.783773,0.03993869
0.018177893,0.0067764414,-0.011401452,-1.0438843,-0.9514782,0.092406094,-0.8230597,-0.78214306,0.04091662
0.009994176,0.0068887216,-0.0031054546,-1.0527201,-0.953232,0.09948808,-0.8234606,-0.7817343,0.04172629
0.013345233,0.0019011018,-0.011444131,-1.0503073,-0.95859987,0.09170741,-0.81634873,-0.7841057,0.032243013
0.0053339717,0.008301423,0.0029674512,-1.0530895,-0.95967203,0.093417466,-0.8166117,-0.77359605,0.04301566
-0.0078533655,0.0022937772,0.010147143,-1.0491134,-0.96044135,0.08867204,-0.81483525,-0.7740352,0.040800035
0.012669292,-0.0048287953,-0.017498087,-1.0489149,-0.9564496,0.09246528,-0.8166212,-0.7760615,0.04055971
-0.0047679315,0.010759258,0.015527189,-1.0502048,-0.95776224,0.09244251,-0.817014,-0.7782006,0.038813353
0.0007122052,-0.0026155221,-0.0033277273,-1.0508382,-0.95723605,0.09360218,-0.8162047,-0.77732944,0.03887528
-0.00088781817,0.00031581568,0.0012036338,-1.0532708,-0.95767367,0.09559715,-0.81613356,-0.7748699,0.04126364
-0.0022720727,-0.0039747464,-0.0017026737,-1.0487049,-0.9584875,0.09021735,-0.81257427,-0.77698153,0.035592735
-0.004143763,-0.0046962495,-0.0005524866,-1.0524414,-0.95855284,0.09388852,-0.8141289,-0.77251565,0.04161322
0.004791126,-0.0074298526,-0.012220979,-1.0482768,-0.95940745,0.08886933,-0.81031454,-0.7738184,0.036496162
0.00856254,0.00053097354,-0.008031566,-1.0571932,-0.9586065,0.09858668,-0.8172001,-0.7693683,0.047831833
-0.002019267,0.00036266493,0.002381932,-1.056386,-0.96188897,0.094497025,-0.81081307,-0.7764353,0.034377754
-0.006105307,-0.0009872909,0.005118016,-1.051668,-0.9634817,0.08818632,-0.8071921,-0.76647323,0.040718853
-0.002540126,-0.0021456066,0.00039451942,-1.0537708,-0.9604625,0.09330827,-0.8088212,-0.7678948,0.040926397
0.006032147,-0.00019035068,-0.0062224977,-1.055886,-0.9623129,0.09357315,-0.8104339,-0.76681405,0.04361987
-0.0057800706,0.0059164916,0.011696562,-1.0586246,-0.9631188,0.09550583,-0.8073695,-0.7692593,0.038110197
0.012786095,-0.004812583,-0.017598677,-1.0555733,-0.9641113,0.091462016,-0.8031193,-0.76830053,0.03481877
-0.0039445083,0.015492759,0.019437267,-1.0590576,-0.96812654,0.09093106,-0.80577517,-0.75879335,0.04698181
0.011184157,-0.005242526,-0.016426682,-1.0545784,-0.96434444,0.09023398,-0.80365187,-0.7630947,0.040557146
0.009075944,0.0088371495,-0.00023879483,-1.0624198,-0.96416795,0.09825182,-0.8096251,-0.76065475,0.04897034
0.0026066494,0.0043381457,0.0017314963,-1.05744,-0.9679605,0.089479566,-0.8058339,-0.76600516,0.039828718
0.006544177,0.0011598435,-0.0053843334,-1.0582467,-0.96607995,0.09216678,-0.80451334,-0.7616753,0.042838037
0.016636658,0.0012468402,-0.015389819,-1.0601122,-0.9650506,0.09506166,-0.80464286,-0.76798296,0.036659896
0.020799426,0.011350398,-0.009449028,-1.058531,-0.9676658,0.090865254,-0.80155116,-0.7606283,0.04092288
0.004599322,0.014875277,0.010275954,-1.0613898,-0.9655805,0.09580928,-0.8024373,-0.7599774,0.042459905
0.02395847,0.004445095,-0.019513376,-1.06321,-0.9670783,0.09613168,-0.8044422,-0.76127654,0.043165684
0.02317772,0.020958664,-0.0022190567,-1.0609612,-0.9709185,0.09004277,-0.80274665,-0.7656034,0.03714323
0.01380331,0.019150645,0.005347335,-1.0653334,-0.969389,0.095944345,-0.8060443,-0.7643508,0.04169351
0.014638475,0.009192449,-0.005446026,-1.0585662,-0.97080725,0.08775896,-0.7970778,-0.7626421,0.03443569
0.023005845,0.015791036,-0.007214809,-1.0718759,-0.969795,0.10208094,-0.80645585,-0.75658137,0.049874485
0.007223532,0.017184114,0.0099605825,-1.0831087,-0.9745198,0.108588874,-0.81494856,-0.7640526,0.05089593
0.033924945,0.035813496,0.0018885508,-1.1378483,-1.014055,0.123793244,-0.85409427,-0.7393413,0.11475295
-0.0015969421,0.052978065,0.054575007,-1.1706357,-1.0421785,0.12845719,-0.859227,-0.79051083,0.06871617
-0.014620262,0.069768086,0.084388345,-1.2319571,-1.1047337,0.12722337,-0.8839993,-0.7811906,0.102808714
-0.030804105,0.047758415,0.07856252,-1.2417843,-1.1338755,0.107908845,-0.888808,-0.8101038,0.07870424
0.09071682,0.020326272,-0.070390545,-1.2859454,-1.1278862,0.15805924,-0.9324614,-0.81188625,0.12057513
0.027513692,0.14185932,0.11434563,-1.3146648,-1.20835,0.1063149,-0.9625926,-0.8285113,0.1340813
0.02291872,0.07759501,0.05467629,-1.3325815,-1.2070893,0.12549222,-0.9646638,-0.86785305,0.09681076
0.007201087,0.07531553,0.06811444,-1.3505572,-1.215936,0.13462126,-0.94420254,-0.87459016,0.069612384
-0.008674133,0.07382929,0.08250342,-1.3573419,-1.2308296,0.12651229,-0.9396557,-0.84667873,0.09297699
0.027877724,0.070759416,0.04288169,-1.3644061,-1.2518327,0.112573385,-0.9500601,-0.8354596,0.11460054
0.037425164,0.045514245,0.00808908,-1.2972648,-1.2090422,0.08822262,-0.90891874,-0.8657596,0.043159127
-0.0035979855,0.08156208,0.08516006,-1.3474789,-1.189663,0.15781581,-0.89867806,-0.8300675,0.06861055
-0.024880655,0.054064516,0.078945175,-1.3754425,-1.2138963,0.16154623,-0.8253507,-0.82457566,0.0007750392
-0.030114517,0.06442281,0.094537325,-1.3758496,-1.2475992,0.12825036,-0.7501082,-0.7494808,0.0006273985
0.04261355,0.07507139,0.032457836,-1.3779936,-1.244789,0.13320458,-0.7021917,-0.7022417,-5.0008297e-05
0.058228265,0.16452523,0.10629696,-1.4134408,-1.2814244,0.13201642,-0.6986094,-0.6535331,0.04507631
0.035522237,0.1669451,0.13142286,-1.402271,-1.2980433,0.10422778,-0.6837486,-0.6362128,0.047535777
-0.023495965,0.16145468,0.18495065,-1.389666,-1.2878618,0.10180414,-0.6847695,-0.6198154,0.0649541
-0.0251581,0.1200884,0.1452465,-1.3756045,-1.2719024,0.10370207,-0.69234264,-0.632555,0.05978763
0.025382355,0.09962016,0.07423781,-1.3594865,-1.2583407,0.101145744,-0.68483305,-0.64965206,0.035180986
0.0075022955,0.13691834,0.12941603,-1.3494548,-1.255101,0.094353795,-0.6508603,-0.63947856,0.011381745
-0.03685049,0.13015214,0.16700262,-1.3477492,-1.2402567,0.107492566,-0.58573407,-0.605586,-0.019851923
-0.010922651,0.09049463,0.10141728,-1.332171,-1.2270812,0.10508978,-0.5235648,-0.53984326,-0.016278446
0.0005235155,0.10102154,0.10049803,-1.3448669,-1.2284722,0.11639464,-0.48522002,-0.4752062,0.010013819
-0.0020938548,0.09287998,0.09497383,-1.3356633,-1.2438077,0.091855645,-0.4577585,-0.41353893,0.044219553
-0.002363644,0.0808611,0.08322474,-1.3371782,-1.2402574,0.09692085,-0.44339496,-0.38498724,0.058407724
-0.06170453,0.080698386,0.14240292,-1.2685562,-1.2407967,0.027759552,-0.3955401,-0.37491265,0.020627439
0.0646706,-0.011069524,-0.07574012,-1.0695552,-1.1704102,-0.10085499,-0.28686696,-0.33141774,-0.044550776
0.011195102,0.043801457,0.032606356,-0.45434302,-0.7945796,-0.3402366,-0.09283574,-0.3470615,-0.2542258
-0.032252707,0.07288349,0.10513619,-0.49353832,-0.4189162,0.074622124,-0.06900753,-0.112471424,-0.043463893
-0.16575676,0.014896839,0.1806536,-0.07127495,-0.4459481,-0.37467313,-0.0057605905,-0.10103911,-0.095278524
-0.030733056,-0.07239661,-0.041663557,-0.08480763,-0.052854236,0.03195339,-0.010237776,-0.028991042,-0.018753266
0.0761396,0.0539788,-0.022160798,-0.07414428,-0.04278732,0.03135696,-0.010918926,0.0037019374,0.014620864
0.0020469693,0.078866735,0.07681976,-0.033447813,-0.041027524,-0.0075797103,-0.004839467,-0.0057084626,-0.0008689957
0.01159053,0.03899144,0.02740091,-0.09243087,-0.017299743,0.075131126,-0.012346768,-0.009068106,0.0032786615
0.017030334,0.07847814,0.061447807,-0.047021456,-0.055271726,-0.00825027,-0.0060503245,-0.009427499,-0.0033771745
0.00010476309,0.045123234,0.04501847,-0.02916601,-0.024233539,0.0049324706,-0.0038204913,-0.007954305,-0.004133814
0.013423259,0.034486655,0.021063395,-0.0021691837,-0.017066065,-0.014896882,-0.000305268,-0.0066716815,-0.0063664136
0.011622128,0.044615522,0.032993395,0.0076001137,-0.0029478404,-0.010547955,0.0010092085,-0.0054451297,-0.0064543383
0.003512085,0.045093276,0.04158119,0.0038770994,0.0044173906,0.0005402912,0.00051858,-0.004980727,-0.005499307
0.0019908068,0.040630396,0.03863959,0.0017064561,0.0026562146,0.00094975857,0.0002242558,-0.0050425413,-0.0052667973
0.0040045646,0.039170463,0.0351659,-0.0017065498,0.0009395738,0.0026461235,-0.00022354191,-0.0054600257,-0.0052364836
0.0008186032,0.040043544,0.03922494,0.0007756252,-0.0015876453,-0.0023632704,0.00010219364,-0.005638584,-0.0057407776
0.001279362,0.038116917,0.036837555,0.0010859654,0.0003184946,-0.0007674708,0.00014240512,-0.0054303026,-0.005572708
0.0024508056,0.03829611,0.035845306,0.0013962409,0.00017196925,-0.0012242716,0.00018309227,-0.0058708345,-0.006053927
0.0040813317,0.038507167,0.034425836,0.0018622715,-4.7354304e-05,-0.0019096257,0.00023936255,-0.005958655,-0.0061980174
0.0019061831,0.04151072,0.039604537,0.0010859654,0.0012652206,0.00017925515,0.00014240512,-0.0047018826,-0.004844288
0.000544623,0.038177285,0.037632663,0.00031027567,-0.00042252106,-0.00073279673,4.068723e-05,-0.005702193,-0.00574288
0.0016338718,0.038137488,0.036503617,0.0009308273,-0.00035490099,-0.0012857283,0.000122061545,-0.0055203713,-0.0056424327
-0.093488194,0.017204285,0.11069248,0.045603823,0.037527982,-0.008075841,0.050709173,0.04028507,-0.010424104
-0.090190716,-0.026644856,0.06354586,0.22053033,0.020925485,-0.19960484,0.3243442,0.04714933,-0.27719486
0.023391644,-0.07907584,-0.102467485,0.28374216,0.18825413,-0.09548803,0.42590535,0.30862895,-0.1172764
0.034662955,-0.013259749,-0.047922704,0.29456177,0.28285843,-0.011703342,0.4163624,0.4251832,0.008820802
0.018699283,0.0039618877,-0.014737396,0.32607833,0.29022214,-0.035856187,0.44518125,0.40817103,-0.037010223
-0.0037614624,-0.004554413,-0.0007929504,0.34687805,0.33335876,-0.013519287,0.47031823,0.4535964,-0.016721815
0.025092497,-0.020928591,-0.04602109,0.3636915,0.35311604,-0.010575473,0.489214,0.4831958,-0.0060181916
0.010915169,0.017897826,0.006982657,0.39526907,0.38237166,-0.012897402,0.51416713,0.49977863,-0.014388502
0.021160413,0.020934211,-0.00022620149,0.44492924,0.40965682,-0.03527242,0.5591014,0.5245108,-0.034590602
-0.0017315852,0.050143566,0.05187515,0.46131143,0.45525557,-0.0060558617,0.5512091,0.56124294,0.010033846
-0.012283823,0.038105708,0.050389532,0.4698503,0.4709845,0.001134187,0.54314303,0.5505004,0.007357359
-0.03846903,0.030212153,0.06868118,0.47147995,0.4740543,0.0025743544,0.55637735,0.544806,-0.011571348
-0.0112628555,0.022514064,0.03377692,0.4819251,0.4678545,-0.0140706,0.5798638,0.5583291,-0.021534681
0.00760413,0.05530062,0.04769649,0.48746786,0.48119605,-0.0062718093,0.58300894,0.58872825,0.005719304
0.03774098,0.058807004,0.021066025,0.54206747,0.48898262,-0.05308485,0.6183444,0.5837676,-0.034576833
0.034710415,0.10449513,0.069784716,0.5911208,0.535533,-0.05558777,0.63841486,0.62618124,-0.012233615
0.045444287,0.097887404,0.052443117,0.71766776,0.579858,-0.13780975,0.7318666,0.6509709,-0.08089572
0.087717466,0.03877808,-0.048939385,0.88129103,0.729516,-0.151775,0.8290362,0.73275816,-0.09627801
0.107158914,0.10853122,0.0013723075,1.0271581,0.87061596,-0.15654218,0.8087357,0.79574436,-0.012991369
0.017999634,0.07381779,0.055818155,1.0899681,1.0212913,-0.06867683,0.79132366,0.7794175,-0.011906147
-0.040107906,0.029544065,0.06965197,1.0907769,1.0560896,-0.03468728,0.76935405,0.77368087,0.0043268204
-0.05520922,-0.016689979,0.03851924,1.2093625,1.0837722,-0.12559032,0.89279747,0.7633057,-0.12949175
-0.022512347,-0.069751866,-0.04723952,1.354183,1.2118627,-0.14232028,0.9805836,0.8587377,-0.1218459
0.068515964,-0.064806424,-0.13332239,1.4334354,1.2977875,-0.1356479,0.95062554,0.9152724,-0.035353124
0.019066075,-0.07406736,-0.093133435,1.4346827,1.3463131,-0.08836961,0.8929654,0.8969169,0.0039515495
-0.047980763,-0.13896185,-0.09098109,1.4772172,1.3535497,-0.12366748,0.91334134,0.8502554,-0.06308591
-0.052570656,-0.15750417,-0.104933515,1.4696757,1.3863058,-0.08336985,0.9345839,0.870478,-0.06410593
-0.016181868,-0.13273926,-0.11655739,1.4686785,1.3789961,-0.08968234,0.95536,0.8879909,-0.0673691
-0.039636284,-0.11414083,-0.07450455,1.4526436,1.3787035,-0.07394016,0.952174,0.8977049,-0.05446911
-0.016513396,-0.1306263,-0.11411291,1.4712106,1.3695942,-0.10161638,0.95372826,0.89709413,-0.056634128
-0.011612653,-0.1221401,-0.11052745,1.480126,1.3789368,-0.101189256,0.9372999,0.8997345,-0.03756541
-0.045392938,-0.12966815,-0.08427521,1.4711803,1.3813467,-0.08983362,0.93328804,0.8865076,-0.046780467
-0.012373249,-0.14246522,-0.13009197,1.4728624,1.3793051,-0.09355724,0.9454718,0.88659537,-0.058876455
-0.024123482,-0.11198849,-0.08786501,1.4712602,1.3807647,-0.09049547,0.95225984,0.8995237,-0.052736163
-0.03723669,-0.11901016,-0.08177347,1.4517319,1.3826,-0.06913197,0.9444102,0.9008234,-0.04358679
-0.02900026,-0.1315502,-0.10254993,1.4765004,1.3690352,-0.10746515,0.96373856,0.89122987,-0.07250869
0.0007703644,-0.12096325,-0.12173362,1.4613289,1.3835313,-0.07779753,0.94835013,0.9062254,-0.04212475
-0.017913204,-0.11080665,-0.09289345,1.4624757,1.3673159,-0.09515977,0.94743717,0.8934091,-0.054028094
-0.039160594,-0.11722862,-0.078068025,1.4717249,1.3692148,-0.102510095,0.9478463,0.8974391,-0.05040717
-0.02789861,-0.13022625,-0.102327645,1.474981,1.3800731,-0.09490788,0.95230484,0.89846843,-0.053836405
