Target,MSE,MAE,R²
omega (rad/s),0.03420240059494972,0.09752004593610764,0.9673720598220825
vx (m/s),0.011037036776542664,0.0543307363986969,0.9813866019248962
vy (m/s),0.008246514946222305,0.047188956290483475,0.9880499243736267
